time=2019-10-30T17:03:31+08:00, method=GET, uri=/, status=200
time=2019-10-30T17:07:07+08:00, method=GET, uri=/, status=404
time=2019-10-30T17:25:06+08:00, method=GET, uri=/, status=200
time=2019-10-30T17:39:07+08:00, method=GET, uri=/, status=500
time=2019-10-30T17:39:49+08:00, method=GET, uri=/, status=500
time=2019-10-30T17:43:44+08:00, method=GET, uri=/, status=500
time=2019-10-30T17:46:48+08:00, method=GET, uri=/, status=500
time=2019-10-30T17:46:55+08:00, method=GET, uri=/, status=500
time=2019-10-30T17:47:58+08:00, method=GET, uri=/, status=500
time=2019-10-30T17:48:37+08:00, method=GET, uri=/, status=200
time=2019-10-30T21:22:04+08:00, method=GET, uri=/, status=200
time=2019-10-30T21:22:04+08:00, method=GET, uri=/static/js/bootstrap.min.js, status=200
time=2019-10-30T21:22:04+08:00, method=GET, uri=/static/js/jquery-3.4.1.min.js, status=200
time=2019-10-30T21:22:04+08:00, method=GET, uri=/static/css/bootstrap.min.css, status=200
time=2019-10-30T21:22:04+08:00, method=GET, uri=/favicon.ico, status=404
time=2019-10-30T21:22:17+08:00, method=GET, uri=/, status=200
time=2019-10-30T21:33:54+08:00, method=GET, uri=/, status=200
time=2019-10-30T21:33:54+08:00, method=GET, uri=/static/js/jquery-3.4.1.min.js, status=304
time=2019-10-30T21:54:43+08:00, method=GET, uri=/, status=200
time=2019-10-30T21:54:43+08:00, method=GET, uri=/static/js/jquery-3.4.1.min.js, status=304
time=2019-10-30T22:09:19+08:00, method=GET, uri=/order, status=200
time=2019-10-30T22:09:19+08:00, method=GET, uri=/static/js/jquery-3.4.1.min.js, status=304
time=2019-10-30T22:11:19+08:00, method=GET, uri=/order, status=200
time=2019-10-30T22:11:37+08:00, method=GET, uri=/, status=200
time=2019-10-30T22:11:41+08:00, method=GET, uri=/order, status=200
